Sample	Unique Reads	Duplicate Reads
fastqc | SRR8668755	30668580.0	59252773.0
fastqc | SRR8668756	34590747.0	49893108.0
fastqc | SRR8668757	41590044.0	53520115.0
fastqc | SRR8668758	15461668.0	14699911.0
fastqc | SRR8668759	2617823.0	2705979.0
fastqc | SRR8668769	26657085.0	67594447.0
fastqc | SRR8668771	23319461.0	41117076.0
fastqc | SRR8668772	25653140.0	42526766.0
fastqc | SRR8668773	26430662.0	43549461.0
fastqc | SRR8668774maybe	54094756.0	79293178.0
